year,week,Borough,Housing,Other jurisdiction,Patrol,Transit,18-24,25-44,45-64,65+,<18,Unknown,Female,Male,American indian/alaskan native,Asian / pacific islander,Black,Black hispanic,Other,Unknown.1,White,White hispanic,Domestic,Drug_&_Violence,Noise,Traffic_related,Number_of_persons_injured,Number_of_persons_killed,Backing unsafely,Driver inattention/distraction,Driver inexperience,Failure to yield right-of-way,Fatigued/drowsy,Following too closely,Lost consciousness,Other vehicular,Passing or lane usage improper,Passing too closely,Prescription medication,Traffic control disregarded,Turning improperly,Unsafe lane changing,Unspecified
2012,35,Bronx,93,32,1319,116,477,682,253,10,138,0,262,1298,5,15,695,215,0,17,85,528,35,0,866,218,61.0,1.0,5,30,5,15,9,0,5,9,0,0,7,5,5,0,188
2012,36,Bronx,110,21,1332,146,471,703,297,9,129,0,308,1301,2,14,745,229,0,8,63,548,26,0,774,228,55.0,0.0,12,18,8,12,8,0,6,6,0,0,7,5,3,0,195
2012,37,Bronx,143,41,1459,193,554,791,309,14,168,0,333,1503,3,16,848,260,0,15,75,619,28,0,830,246,83.0,0.0,14,25,8,11,16,1,5,8,2,0,5,4,6,1,188
2012,38,Bronx,95,38,1543,172,527,849,307,9,156,0,298,1550,3,21,827,245,0,14,100,638,28,0,807,265,54.0,1.0,11,34,2,9,3,0,3,3,0,0,5,3,2,0,186
2012,39,Bronx,94,31,1249,142,450,662,275,7,122,0,283,1233,2,12,668,207,0,15,70,542,25,0,848,204,61.0,0.0,17,19,9,16,11,0,3,3,0,0,7,5,2,1,185
2012,40,Bronx,109,32,1475,183,523,753,336,16,171,0,336,1463,2,3,834,242,0,20,93,605,25,0,788,214,69.0,0.0,9,35,10,16,9,0,3,7,1,0,6,0,8,0,181
2012,41,Bronx,109,37,1538,163,571,773,341,10,152,0,348,1499,4,19,816,250,0,27,88,643,14,0,735,245,70.0,0.0,11,33,3,13,8,1,5,12,0,0,8,4,4,0,180
2012,42,Bronx,114,44,1446,168,525,761,304,11,171,0,300,1472,3,17,828,243,0,29,64,588,23,0,770,221,35.0,0.0,9,28,7,11,7,0,6,12,0,0,9,1,5,0,180
2012,43,Bronx,90,26,1418,123,490,717,312,9,129,0,303,1354,0,12,774,212,0,13,68,578,17,0,814,214,79.0,1.0,8,40,5,12,4,0,6,13,1,0,7,2,8,1,188
2012,44,Bronx,70,26,674,23,240,338,111,3,101,0,143,650,1,0,365,112,0,9,31,275,9,0,511,56,35.0,0.0,4,13,2,14,4,0,3,10,0,0,5,1,6,1,107
2012,45,Bronx,113,22,997,153,380,550,215,9,131,0,234,1051,1,10,623,175,0,21,43,412,14,0,562,165,47.0,0.0,12,36,2,8,12,0,9,11,0,0,4,1,6,0,183
2012,46,Bronx,90,28,1238,159,455,631,282,4,143,0,267,1248,3,16,678,223,0,18,50,527,12,0,671,193,68.0,0.0,1,35,4,12,3,0,3,9,0,0,6,5,4,1,164
2012,47,Bronx,77,23,1049,89,376,558,195,11,98,0,211,1027,3,11,544,159,0,16,49,456,19,0,853,241,57.0,0.0,7,39,6,6,8,0,4,8,0,0,7,2,1,0,159
2012,48,Bronx,90,30,1325,142,468,672,317,13,117,0,315,1272,1,19,770,208,0,23,81,485,16,0,685,253,58.0,0.0,9,31,1,9,6,0,6,5,0,0,7,2,2,0,170
2012,49,Bronx,121,32,1432,201,562,770,293,13,148,0,329,1457,6,16,858,213,0,25,78,590,19,0,702,255,53.0,0.0,9,29,2,11,7,0,4,10,0,0,8,3,4,0,178
2012,50,Bronx,69,25,1425,182,513,688,300,11,189,0,294,1407,0,11,825,235,0,27,57,546,27,0,690,237,72.0,0.0,11,32,9,14,10,0,1,15,1,0,5,3,8,0,176
2012,51,Bronx,73,24,1255,138,449,618,271,10,142,0,249,1241,3,10,687,202,0,25,58,505,16,0,686,252,52.0,0.0,9,33,1,15,4,0,5,8,0,0,5,4,4,0,187
2012,52,Bronx,86,18,925,102,342,488,192,8,101,0,196,935,0,8,513,156,0,22,42,390,20,0,1151,284,49.0,1.0,10,20,5,10,12,1,4,10,0,0,4,3,5,0,165
2013,1,Bronx,79,21,1409,151,461,727,324,12,136,0,276,1384,0,8,799,224,0,22,65,542,29,0,930,311,74.0,1.0,9,38,5,13,8,1,2,7,0,0,7,5,10,0,198
2013,2,Bronx,107,31,1465,226,541,755,316,11,206,0,316,1513,0,20,831,232,0,18,71,657,8,0,777,209,67.0,0.0,3,29,3,10,5,0,8,7,1,0,4,5,4,1,176
2013,3,Bronx,96,42,1326,173,433,742,294,14,154,0,280,1357,0,10,807,177,0,30,65,548,12,0,737,237,59.0,0.0,14,20,1,10,5,0,5,9,0,0,3,0,3,0,176
2013,4,Bronx,79,27,1291,157,399,719,298,9,129,0,246,1308,0,11,710,184,0,32,63,554,9,0,765,211,41.0,0.0,6,28,3,11,3,0,4,7,0,0,5,1,7,0,176
2013,5,Bronx,108,37,1310,150,445,706,292,10,152,0,289,1316,1,10,717,230,0,29,63,555,11,0,776,276,47.0,0.0,8,30,2,10,9,0,2,3,0,0,5,3,4,0,177
2013,6,Bronx,122,53,1228,171,441,730,274,8,121,0,252,1322,1,9,677,237,0,45,69,536,9,0,753,277,74.0,0.0,5,30,2,10,14,0,2,10,0,0,3,6,5,0,213
2013,7,Bronx,90,37,1473,165,506,793,291,7,168,0,312,1453,3,11,766,274,0,47,67,597,25,0,788,258,51.0,0.0,8,31,4,9,8,0,7,7,0,0,5,0,10,1,190
2013,8,Bronx,109,31,1480,179,484,831,298,10,176,0,293,1506,0,16,794,281,0,39,97,572,10,0,815,238,66.0,0.0,7,31,1,15,8,0,5,8,0,0,8,3,2,0,169
2013,9,Bronx,105,38,1461,220,505,810,335,12,162,0,275,1549,1,17,769,258,0,44,68,667,10,0,785,248,82.0,0.0,6,30,9,14,7,0,8,10,1,0,4,2,9,0,163
2013,10,Bronx,120,31,1361,176,485,740,321,9,133,0,280,1408,2,19,745,251,0,34,72,565,13,0,746,249,58.0,0.0,1,33,7,9,7,0,7,12,0,0,13,4,3,1,225
2013,11,Bronx,91,34,1384,181,489,735,298,12,156,0,307,1383,3,14,784,248,0,44,58,539,17,0,812,292,50.0,0.0,6,41,9,11,14,0,5,8,0,0,8,5,6,1,197
2013,12,Bronx,96,47,1450,162,496,763,313,8,175,0,318,1437,1,19,782,238,0,59,61,595,11,0,868,269,48.0,0.0,4,30,3,7,9,0,3,7,0,0,5,0,3,0,217
2013,13,Bronx,94,15,1209,131,417,631,253,13,135,0,268,1181,3,14,643,193,0,38,70,488,17,0,974,227,53.0,0.0,4,28,2,14,11,0,6,7,0,0,2,3,3,0,169
2013,14,Bronx,97,26,1371,167,467,703,314,22,155,0,303,1358,1,13,743,236,0,23,78,567,17,0,827,250,84.0,0.0,7,30,8,10,12,0,9,10,0,0,5,1,4,0,163
2013,15,Bronx,114,38,1540,199,526,844,353,9,159,0,322,1569,3,16,796,271,0,34,92,679,24,0,890,255,65.0,0.0,17,43,1,13,9,0,4,5,0,0,9,1,2,0,181
2013,16,Bronx,119,33,1414,173,498,745,297,15,184,0,315,1424,7,12,761,269,0,33,85,572,32,0,804,246,60.0,0.0,8,24,5,11,8,1,2,10,0,0,5,4,5,0,213
2013,17,Bronx,87,40,1391,198,466,767,309,11,163,0,312,1404,3,18,757,258,0,29,61,590,40,0,926,313,61.0,0.0,6,39,6,9,10,1,1,9,0,0,5,1,4,0,191
2013,18,Bronx,97,43,1388,157,442,771,318,8,146,0,289,1396,1,15,687,272,0,31,81,598,38,0,893,251,53.0,0.0,6,41,2,13,8,0,8,15,0,0,8,3,3,0,170
2013,19,Bronx,102,28,1404,189,471,758,345,9,140,0,313,1410,4,11,763,259,0,29,74,583,33,0,957,276,78.0,1.0,6,35,3,13,9,2,3,10,0,0,3,5,6,0,199
2013,20,Bronx,93,20,1472,167,485,796,293,18,160,0,326,1426,1,10,735,264,0,36,99,607,29,0,953,281,97.0,1.0,5,36,2,20,9,1,4,9,0,0,5,3,7,0,216
2013,21,Bronx,94,40,1334,135,429,684,287,7,196,0,308,1295,2,9,724,245,0,24,59,540,40,0,923,271,50.0,0.0,15,50,3,11,12,0,2,11,0,0,9,4,6,0,190
2013,22,Bronx,101,21,1281,135,432,691,261,16,138,0,293,1245,0,13,683,245,0,16,74,507,55,0,1176,283,83.0,0.0,7,49,3,11,18,0,4,8,0,0,11,4,4,0,219
2013,23,Bronx,98,38,1436,164,513,777,306,11,129,0,300,1436,1,15,752,251,0,50,86,581,36,0,854,275,78.0,0.0,11,39,4,20,18,0,7,9,0,0,10,3,6,0,212
2013,24,Bronx,110,28,1361,178,448,740,332,15,142,0,332,1345,3,13,736,249,0,35,85,556,36,0,1005,279,75.0,2.0,12,46,7,14,12,0,4,8,0,0,9,1,5,0,216
2013,25,Bronx,98,38,1386,184,474,766,305,20,141,0,293,1413,2,12,763,232,0,17,86,594,78,0,992,316,77.0,0.0,10,32,2,7,12,1,3,10,0,0,8,2,7,0,187
2013,26,Bronx,94,44,1251,136,421,664,281,7,152,0,297,1228,1,11,670,264,0,29,63,487,62,0,868,304,77.0,1.0,6,35,5,7,11,0,4,13,0,0,11,2,7,0,195
2013,27,Bronx,105,21,1285,140,424,712,281,13,121,0,285,1266,0,17,650,250,0,20,63,551,50,0,918,256,98.0,0.0,10,39,7,16,7,0,3,8,1,0,6,1,3,0,234
2013,28,Bronx,106,26,1379,186,475,753,327,13,129,0,316,1381,1,11,718,285,0,31,79,572,36,0,818,276,81.0,0.0,8,43,7,13,7,1,5,8,0,0,10,3,5,0,215
2013,29,Bronx,111,23,1381,146,465,746,313,5,132,0,311,1350,0,6,768,260,0,21,84,522,39,0,818,287,98.0,0.0,9,32,4,15,6,0,2,6,0,0,3,6,7,0,213
2013,30,Bronx,103,25,1373,184,532,697,301,11,144,0,324,1361,1,17,714,286,0,33,69,565,43,0,850,300,79.0,0.0,10,32,3,12,8,0,5,8,0,0,7,4,3,0,179
2013,31,Bronx,84,20,1380,195,471,745,335,9,119,0,280,1399,1,14,774,256,0,23,76,535,49,0,918,282,82.0,0.0,10,28,4,10,14,0,6,9,0,0,5,3,4,1,228
2013,32,Bronx,75,28,1399,175,454,753,295,14,161,0,303,1374,3,14,709,271,0,26,73,581,41,0,906,298,62.0,0.0,8,36,8,10,14,0,7,7,0,0,7,4,3,0,171
2013,33,Bronx,103,29,1395,184,524,745,300,10,132,0,305,1406,7,18,770,272,0,23,62,559,42,0,1145,291,77.0,0.0,5,32,5,13,14,1,2,4,1,0,4,0,6,0,175
2013,34,Bronx,107,27,1357,145,474,743,292,10,117,0,301,1335,0,20,714,241,0,34,68,559,38,0,1063,270,66.0,0.0,8,29,3,13,5,0,9,9,0,0,8,4,7,1,177
2013,35,Bronx,94,18,1242,151,462,658,266,11,108,0,286,1219,0,14,628,236,0,24,76,527,50,0,939,266,73.0,0.0,6,31,4,12,10,0,5,10,0,0,4,7,5,0,150
2013,36,Bronx,107,20,1441,135,484,775,285,11,148,0,317,1386,3,13,739,288,0,36,71,553,84,0,1099,229,78.0,0.0,4,28,2,5,8,0,5,7,0,0,10,7,3,0,192
2013,37,Bronx,114,20,1253,143,443,715,252,4,116,0,272,1258,0,12,688,253,0,21,66,490,87,0,760,306,76.0,0.0,12,30,10,16,18,1,7,6,0,0,6,4,7,0,181
2013,38,Bronx,121,21,1365,177,446,748,315,12,163,0,289,1395,0,19,753,265,0,24,62,561,85,0,821,279,68.0,0.0,7,35,5,16,12,1,3,10,0,0,5,4,0,0,203
2013,39,Bronx,94,18,1402,160,468,747,300,14,145,0,312,1362,0,24,736,254,0,43,71,546,85,0,943,291,71.0,0.0,11,30,5,7,10,0,8,6,0,0,9,3,4,0,212
2013,40,Bronx,111,27,1494,167,529,800,317,8,145,0,341,1458,1,18,810,252,0,40,72,606,71,0,842,282,81.0,0.0,8,31,7,8,10,0,3,14,0,0,9,2,4,0,175
2013,41,Bronx,109,50,1473,157,501,784,328,12,164,0,307,1482,3,20,749,297,0,20,81,619,65,0,822,273,70.0,0.0,10,31,4,6,9,0,3,11,0,0,7,6,3,0,155
2013,42,Bronx,77,39,1339,130,452,703,291,9,130,0,272,1313,2,18,663,260,0,28,77,537,80,0,896,278,69.0,0.0,6,26,1,4,10,0,9,7,0,0,5,3,3,0,209
2013,43,Bronx,101,44,1341,182,462,768,314,11,113,0,287,1381,2,20,727,247,0,31,68,573,61,0,702,356,86.0,1.0,5,39,7,9,15,0,2,10,0,0,6,2,5,0,174
2013,44,Bronx,84,31,1220,125,395,689,248,8,120,0,266,1194,2,20,660,212,0,23,71,472,70,0,818,339,54.0,0.0,3,24,1,11,12,1,2,9,0,0,6,1,1,0,171
2013,45,Bronx,118,54,1383,195,513,765,298,13,161,0,311,1439,3,13,759,270,0,20,85,600,82,0,785,300,67.0,0.0,14,36,3,11,8,0,2,14,1,0,13,3,7,0,167
2013,46,Bronx,112,25,1420,171,495,777,305,10,141,0,313,1415,1,16,724,265,0,19,87,616,72,0,842,312,95.0,1.0,1,30,4,8,11,0,3,11,0,0,6,1,3,0,216
2013,47,Bronx,109,19,1409,136,493,739,285,10,146,0,291,1382,0,13,732,234,0,30,61,603,76,0,768,271,82.0,0.0,5,31,2,11,16,0,7,12,1,0,10,4,10,0,163
2013,48,Bronx,87,14,1039,128,371,540,229,7,121,0,237,1031,5,11,551,195,0,38,37,431,38,0,962,280,63.0,0.0,5,27,6,18,11,0,8,5,0,0,5,3,7,1,180
2013,49,Bronx,96,34,1384,142,434,770,298,13,141,0,302,1354,3,12,777,202,0,21,69,572,69,0,729,340,50.0,0.0,17,27,5,12,9,0,5,4,0,0,2,5,4,0,169
2013,50,Bronx,103,20,1135,153,387,652,267,1,104,0,253,1158,2,11,650,211,0,20,50,467,65,0,704,309,71.0,0.0,10,19,2,6,12,0,10,9,0,0,7,4,5,0,201
2013,51,Bronx,81,28,1145,99,344,646,236,14,113,0,291,1062,0,7,597,212,0,19,50,468,62,0,726,354,73.0,0.0,5,22,4,4,8,1,6,8,0,0,6,6,7,0,222
2013,52,Bronx,77,16,1034,78,314,575,223,9,84,0,210,995,1,15,483,175,0,30,49,452,49,0,990,289,56.0,0.0,6,22,2,8,7,1,5,4,0,0,8,5,2,0,174
2014,1,Bronx,85,40,1039,111,362,587,226,8,92,0,241,1034,2,10,566,186,0,14,44,453,74,0,1113,379,58.0,0.0,8,18,3,9,8,2,4,10,1,0,7,4,4,0,167
2014,2,Bronx,92,26,1385,173,471,763,312,8,122,0,294,1382,6,13,716,261,0,15,63,602,61,0,777,230,58.0,0.0,9,12,2,7,3,0,5,8,0,0,2,3,2,0,197
2014,3,Bronx,105,37,1625,157,502,897,364,15,146,0,318,1606,2,21,829,255,0,26,88,703,37,0,794,313,76.0,0.0,9,21,3,9,15,0,2,5,0,0,8,0,3,0,186
2014,4,Bronx,93,35,1314,127,431,728,277,8,125,0,256,1313,1,13,647,261,0,34,60,553,59,0,787,311,43.0,0.0,11,28,6,3,9,0,1,13,0,0,8,11,6,0,201
2014,5,Bronx,93,41,1310,133,413,711,310,7,136,0,282,1295,1,11,669,248,0,14,68,566,54,0,816,346,63.0,0.0,9,28,2,17,7,0,6,12,0,0,10,3,9,0,195
2014,6,Bronx,84,35,1352,224,452,777,334,10,122,0,305,1390,3,16,756,243,0,15,81,581,59,0,840,628,37.0,0.0,11,22,5,9,7,1,2,10,0,0,2,3,4,0,211
2014,7,Bronx,101,49,1282,166,455,714,296,13,120,0,270,1328,3,18,677,239,0,25,73,563,68,0,833,605,33.0,0.0,15,27,4,8,11,0,1,11,0,0,5,7,7,0,235
2014,8,Bronx,122,51,1397,194,509,774,332,17,132,0,275,1489,0,19,779,233,0,22,81,630,52,0,1035,567,33.0,0.0,7,22,3,7,12,0,4,11,0,0,6,2,3,1,182
2014,9,Bronx,108,29,1376,138,424,781,306,16,124,0,306,1345,3,13,708,221,0,31,74,601,62,0,758,387,69.0,0.0,8,32,3,6,11,1,7,14,0,0,3,2,3,1,204
2014,10,Bronx,99,59,1512,208,540,833,338,13,154,0,313,1565,2,14,776,304,0,28,85,669,61,0,876,388,51.0,0.0,8,34,4,7,12,0,3,4,1,0,5,3,2,0,170
2014,11,Bronx,136,39,1537,159,524,835,341,7,164,0,334,1537,3,17,773,274,0,25,84,695,60,0,833,418,42.0,0.0,8,15,1,5,6,0,2,8,0,0,6,3,2,0,101
2014,12,Bronx,101,35,1578,188,509,868,356,16,153,0,330,1572,5,18,835,269,0,31,102,642,51,0,824,368,35.0,0.0,10,25,1,7,3,0,3,3,0,0,6,4,3,0,157
2014,13,Bronx,84,24,1348,145,470,714,284,9,124,0,300,1301,1,23,692,272,0,23,64,526,50,0,848,391,75.0,0.0,9,24,1,7,9,0,7,14,0,0,5,0,6,0,177
2014,14,Bronx,92,58,1522,183,536,803,324,12,180,0,318,1537,1,16,828,291,0,23,100,596,54,0,869,390,40.0,1.0,13,26,2,8,16,0,6,6,0,0,2,7,1,0,167
2014,15,Bronx,81,36,1501,162,457,826,345,13,139,0,295,1485,1,14,834,257,0,24,100,550,63,0,1011,380,63.0,0.0,6,36,2,17,14,1,4,11,0,0,9,0,9,0,181
2014,16,Bronx,113,45,1429,166,517,759,340,14,123,0,312,1441,4,18,795,253,0,20,76,587,73,0,1072,353,45.0,0.0,10,22,3,3,5,0,6,6,0,0,6,3,3,1,161
2014,17,Bronx,95,29,1431,192,512,795,306,17,117,0,301,1446,0,23,771,246,0,13,93,601,66,0,1010,376,46.0,0.0,7,33,2,4,10,0,3,8,0,0,2,3,4,1,168
2014,18,Bronx,75,48,1337,126,409,742,284,7,144,0,253,1333,3,21,704,231,0,32,87,508,62,0,1011,364,79.0,1.0,11,34,4,8,16,1,4,6,0,0,6,4,5,0,190
2014,19,Bronx,89,50,1536,210,545,836,340,15,149,0,341,1544,4,19,818,312,0,35,81,616,86,0,1206,375,56.0,0.0,8,30,4,9,9,0,9,11,0,0,11,1,6,0,204
2014,20,Bronx,111,28,1478,169,517,760,349,8,152,0,357,1429,4,10,809,289,0,15,93,566,76,0,1214,386,75.0,0.0,11,24,1,10,13,0,9,9,0,0,2,3,3,0,184
2014,21,Bronx,112,30,1459,145,442,795,317,9,183,0,337,1409,3,27,790,265,0,30,81,550,91,0,1255,393,99.0,1.0,10,36,3,8,10,0,7,8,0,0,2,4,1,0,196
2014,22,Bronx,91,24,1329,153,432,753,271,6,135,0,295,1302,3,16,728,219,0,18,69,544,73,0,1658,373,89.0,0.0,11,26,4,9,12,0,5,7,0,0,6,3,4,0,205
2014,23,Bronx,118,39,1496,137,481,844,320,9,136,0,335,1455,1,16,786,282,0,19,86,600,73,0,1422,412,98.0,0.0,10,29,3,15,8,0,5,19,0,0,6,5,3,0,186
2014,24,Bronx,90,42,1474,154,443,802,363,12,140,0,310,1450,1,16,782,309,0,25,85,542,76,0,1411,423,98.0,0.0,10,30,3,4,7,1,6,9,2,0,7,2,1,0,198
2014,25,Bronx,82,39,1403,157,439,749,314,14,165,0,314,1367,4,18,728,262,0,23,69,577,81,0,1466,437,105.0,0.0,14,28,2,7,5,0,5,9,1,0,4,4,7,0,218
2014,26,Bronx,73,51,1242,147,429,657,288,11,128,0,261,1252,1,15,720,227,0,21,70,459,92,0,1347,442,79.0,0.0,9,34,4,4,19,0,6,15,0,0,10,2,7,0,227
2014,27,Bronx,93,25,1404,127,465,786,279,10,109,0,276,1373,4,17,761,244,0,20,69,534,100,0,1352,396,75.0,0.0,9,37,8,12,8,0,3,7,1,0,5,4,1,0,178
2014,28,Bronx,86,53,1371,212,519,755,307,16,125,0,290,1432,5,15,770,285,0,17,74,556,84,0,1133,475,91.0,0.0,6,35,2,13,8,0,2,7,0,0,4,5,5,0,223
2014,29,Bronx,86,37,1442,161,497,780,318,4,127,0,276,1450,2,19,772,287,0,23,95,528,62,0,1165,380,68.0,0.0,10,30,9,8,4,0,8,12,1,0,7,3,2,0,176
2014,30,Bronx,90,24,1414,157,457,755,309,17,147,0,315,1370,2,24,772,261,0,35,71,520,77,0,1242,468,73.0,1.0,7,33,3,4,13,0,1,13,1,0,5,6,3,2,200
2014,31,Bronx,110,39,1372,162,473,737,318,11,144,0,293,1390,1,12,794,245,0,24,57,550,77,0,1324,384,56.0,0.0,7,28,4,5,4,0,4,9,0,0,6,1,2,0,184
2014,32,Bronx,99,30,1413,178,531,761,313,12,103,0,285,1435,1,21,769,273,0,21,69,566,93,0,1278,373,100.0,0.0,8,31,7,7,9,0,7,11,0,0,8,4,4,0,195
2014,33,Bronx,109,53,1540,185,549,859,326,8,145,0,315,1572,2,10,892,277,0,18,58,630,87,0,1328,377,66.0,0.0,9,38,4,11,13,0,3,16,1,0,5,4,1,0,165
2014,34,Bronx,139,35,1443,168,540,803,335,10,97,0,286,1499,2,19,856,255,0,18,90,545,83,0,1254,338,60.0,0.0,8,31,6,10,11,1,7,12,0,0,6,2,4,0,169
2014,35,Bronx,98,30,1357,91,442,721,305,20,88,0,267,1309,0,8,677,228,0,25,66,572,78,0,1202,353,77.0,0.0,11,44,5,9,13,0,12,12,0,0,14,7,3,1,170
2014,36,Bronx,96,19,1481,141,503,755,346,11,122,0,307,1430,4,14,771,294,0,16,78,560,93,0,1188,444,82.0,0.0,14,42,2,6,10,1,1,16,0,0,7,5,3,0,177
2014,37,Bronx,76,46,1407,143,476,732,314,16,134,0,290,1382,2,18,761,255,0,20,76,540,72,0,1010,444,97.0,0.0,8,38,3,12,21,1,7,11,0,0,7,5,9,1,187
2014,38,Bronx,115,45,1554,154,521,859,321,12,155,0,331,1537,4,16,883,280,0,25,74,586,87,0,1109,433,66.0,0.0,8,37,3,9,9,0,7,15,1,0,8,1,5,0,200
2014,39,Bronx,78,35,1230,157,438,654,291,8,109,0,262,1238,0,15,657,267,0,19,75,467,78,0,1291,425,98.0,1.0,11,38,3,11,11,0,5,22,0,0,7,2,4,0,205
2014,40,Bronx,77,54,1449,146,487,752,326,15,146,0,300,1426,3,20,791,258,0,23,73,558,66,0,1078,445,58.0,0.0,4,42,5,6,7,0,6,14,0,0,6,7,3,0,176
2014,41,Bronx,104,36,1402,180,477,760,325,13,147,0,286,1436,4,14,750,317,0,13,82,542,78,0,1109,410,67.0,0.0,7,40,1,17,8,0,3,15,1,0,5,1,4,0,168
2014,42,Bronx,89,48,1604,159,491,910,304,16,179,0,329,1571,0,14,802,307,0,23,75,679,66,0,1158,473,72.0,0.0,1,35,6,12,10,0,8,21,0,0,6,5,5,0,159
2014,43,Bronx,90,35,1436,112,434,757,321,11,150,0,306,1367,0,18,722,292,0,20,78,543,48,0,1082,395,60.0,1.0,14,27,10,8,6,1,4,15,1,0,8,6,3,0,166
2014,44,Bronx,83,41,1208,118,374,668,256,7,145,0,231,1219,2,9,663,224,0,13,62,477,59,0,1029,393,61.0,0.0,4,33,5,4,11,0,8,19,0,0,4,3,3,1,195
2014,45,Bronx,115,43,1394,183,466,778,346,13,132,0,308,1427,9,18,814,263,0,17,73,541,40,0,887,409,80.0,0.0,6,40,8,16,9,0,2,16,0,0,5,1,6,0,152
2014,46,Bronx,96,19,1424,140,415,823,299,15,127,0,277,1402,0,12,726,262,0,18,64,597,49,0,1023,441,65.0,0.0,12,33,2,7,11,0,8,15,1,0,7,5,3,0,160
2014,47,Bronx,85,19,1392,128,395,766,326,12,125,0,278,1346,2,16,700,276,0,27,71,532,63,0,901,456,58.0,0.0,11,40,4,10,14,0,3,30,0,0,6,5,7,0,157
2014,48,Bronx,60,14,985,103,327,539,221,13,62,0,227,935,1,10,507,193,0,9,51,391,37,0,1124,447,55.0,1.0,9,39,4,9,10,0,5,15,0,0,9,3,6,0,157
2014,49,Bronx,82,13,998,135,292,557,262,8,109,0,245,983,3,12,535,189,0,12,51,426,43,0,855,498,62.0,0.0,7,32,5,16,14,1,4,17,2,0,10,1,9,0,161
2014,50,Bronx,80,26,923,152,322,520,222,3,114,0,204,977,3,14,521,169,0,14,55,405,62,0,948,453,50.0,0.0,6,41,3,6,11,1,5,30,0,0,7,5,14,1,176
2014,51,Bronx,58,27,1046,125,375,558,217,6,100,0,215,1041,2,6,545,197,0,15,53,438,50,0,931,484,34.0,0.0,10,39,3,11,13,0,4,21,0,0,5,2,4,0,184
2014,52,Bronx,14,9,415,4,100,207,93,5,37,0,99,343,0,3,175,57,0,8,23,176,43,0,1362,438,36.0,0.0,5,30,5,9,9,0,4,9,0,0,2,3,3,0,145
2015,1,Bronx,7,6,382,2,103,171,91,4,28,0,73,324,0,7,144,75,0,7,10,154,18,0,811,313,24.0,1.0,1,22,1,6,4,0,1,8,0,0,3,2,4,0,65
2015,2,Bronx,60,49,997,100,344,509,229,4,120,0,225,981,3,11,534,172,0,8,47,431,82,0,925,427,44.0,0.0,5,34,2,8,12,0,4,25,0,0,7,7,5,0,172
2015,3,Bronx,91,25,1296,184,431,710,308,3,144,0,269,1327,2,14,717,218,0,14,54,577,64,0,1029,361,54.0,0.0,7,35,6,8,10,0,5,11,0,0,9,7,7,0,219
2015,4,Bronx,73,26,1257,180,399,681,305,27,124,0,245,1291,2,11,679,223,0,16,56,549,64,0,1023,457,22.0,0.0,10,39,6,8,6,0,5,5,0,0,5,1,5,0,152
